Word,Frequency,Line Number,Line Content
,,105,Ful ȝep in þat Nw Ȝere
,,108,Talkkande bifore þe hyȝe table of trifles ful hende.
,,111,Boþe þe kynges sistersunes and ful siker kniȝtes;
,,117,Wyth mony baner ful bryȝt þat þerbi henged;
,,120,Þat mony hert ful hiȝe hef at her towches.
,,121,"Dayntés dryuen þerwyth of ful dere metes,"
,,132,"An oþer noyse ful newe neȝed biliue,"
,,146,ful clene;
,,152,"A strayte cote ful streȝt, þat stek on his sides,"
,,154,"With pelure pured apert, þe pane ful clene"
,,155,"With blyþe blaunner ful bryȝt, and his hod boþe,"
,,159,"Of bryȝt golde, vpon silk bordes barred ful ryche,"
,,176,"A stede ful stif to strayne,"
,,178,To þe gome he watz ful gayn.
,,188,"Wel cresped and cemmed, wyth knottes ful mony"
,,193,"Dubbed wyth ful dere stonez, as þe dok lasted,"
,,195,Þer mony bellez ful bryȝt of brende golde rungen.
,,218,"And so after þe halme halched ful ofte,"
,,220,On botounz of þe bryȝt grene brayden ful ryche.
,,307,"When non wolde kepe hym with carp he coȝed ful hyȝe,"
,,308,"Ande rimed hym ful richly, and ryȝt hym to speke:"
,,367,"And he ful radly vpros, and ruchched hym fayre,"
,,392,"And þou hatz redily rehersed, bi resoun ful trwe,"
,,446,"And hit lyfte vp þe yȝe-lyddez and loked ful brode,"
,,465,Ȝet breued watz hit ful bare
,,468,"He let no semblaunt be sene, bot sayde ful hyȝe"
,,499,"A ȝere ȝernes ful ȝerne, and ȝeldez neuer lyke,"
,,500,Þe forme to þe fynisment foldez ful selden.
,,507,"Schyre schedez þe rayn in schowrez ful warme,"
,,523,Warnez hym for þe wynter to wax ful rype;
,,525,Fro þe face of þe folde to flyȝe ful hyȝe;
,,535,Þen þenkkez Gawan ful sone
,,540,Knyȝtez ful cortays and comlych ladies
,,552,"Aywan, and Errik, and oþer ful mony,"
,,577,"With polaynez piched þerto, policed ful clene,"
,,589,Gurde wyth a bront ful sure
,,599,"Þat glemed ful gayly with mony golde frenges,"
,,600,"Ayquere naylet ful nwe, for þat note ryched;"
,,699,Til þat he neȝed ful neghe into þe Norþe Walez.
,,713,His cher ful oft con chaunge
,,728,Douteles he hade ben ded and dreped ful ofte.
,,736,Þus in peryl and payne and plytes ful harde
,,744,"Into a forest ful dep, þat ferly watz wylde,"
,,746,Of hore okez ful hoge a hundreth togeder;
,,772,"With a pyked palays pyned ful þik,"
,,781,"And he ful chauncely hatz chosen to þe chef gate,"
,,791,Ande eft a ful huge heȝt hit haled vpon lofte
,,794,"And syþen garytez ful gaye gered bitwene,"
,,795,Wyth mony luflych loupe þat louked ful clene:
,,797,"And innermore he behelde þat halle ful hyȝe,"
,,798,"Towres telded bytwene, trochet ful þik,"
,,802,"Vpon bastel rouez, þat blenked ful quyte;"
,,832,"Þen haylsed he ful hendly þo haþelez vchone,"
,,852,To lede a lortschyp in lee of leudez ful gode.
,,858,And couertorez ful curious with comlych panez
,,865,"Ryche robes ful rad renkkez hym broȝten,"
,,882,"Of a broun bleeaunt, enbrauded ful ryche"
,,887,"Sone watz telded vp a tabil on trestez ful fayre,"
,,897,Þe freke calde hit a fest ful frely and ofte
,,898,"Ful hendely, quen alle þe haþeles rehayted hym at onez,"
,,918,Vch segge ful softly sayde to his fere:
,,934,"Rungen ful rychely, ryȝt as þay schulden,"
,,938,Gawan glydez ful gay and gos þeder sone;
,,975,"Þe alder he haylses, heldande ful lowe,"
,,984,"Þe lorde luflych aloft lepez ful ofte,"
,,1002,Boþe at mes and at mele messes ful quaynt
,,1029,Daunsed ful dreȝly wyth dere carolez.
,,1049,Then frayned þe freke ful fayre at himseluen
,,1082,"Þenne watz Gawan ful glad, and gomenly he laȝed:"
,,1121,Kysten ful comlyly and kaȝten her leue.
,,1122,With mony leude ful lyȝt and lemande torches
,,1124,ful softe.
,,1135,"Arayed for þe rydyng, with renkkez ful mony;"
,,1163,Þat bigly bote on þe broun with ful brode hedez.
,,1176,"Ful oft con launce and lyȝt,"
,,1182,"Vnder couertour ful clere, cortyned aboute;"
,,1189,"Þat droȝ þe dor after hir ful dernly and stylle,"
,,1194,"And set hir ful softly on þe bed-syde,"
,,1196,"Þe lede lay lurked a ful longe quyle,"
,,1205,"Wyth chynne and cheke ful swete,"
,,1207,Ful lufly con ho lete
,,1266,"And oþer ful much of oþer folk fongen bi hor dedez,"
,,1283,"Þe freke ferde with defence, and feted ful fayre--"
,,1290,He granted hir ful sone.
,,1292,"And as ho stod, ho stonyed hym wyth ful stor wordez:"
,,1365,Strakande ful stoutly mony stif motez.
,,1368,"ful stille,"
,,1378,"Techez hym to þe tayles of ful tayt bestes,"
,,1443,"Ful grymme quen he gronyed; þenne greued mony,"
,,1446,"Þise oþer halowed hyghe! ful hyȝe, and hay! hay! cryed,"
,,1451,"Ful oft he bydez þe baye,"
,,1454,Ful ȝomerly ȝaule and ȝelle.
,,1463,"Hurtez hem ful heterly þer he forth hyȝez,"
,,1467,"He rechated, and rode þurȝ ronez ful þyk,"
,,1471,"Gawayn grayþely at home, in gerez ful ryche"
,,1475,Ful erly ho watz hym ate
,,1479,"And ho hym ȝeldez aȝayn ful ȝerne of hir wordez,"
,,1562,"Bot þe lorde ouer þe londez launced ful ofte,"
,,1579,Þat al þuȝt þenne ful loþe
,,1597,ful tyt.
,,1621,In halle hym poȝt ful longe;
,,1624,"Þe lorde ful lowde with lote and laȝter myry,"
,,1630,"Þat oþer knyȝt ful comly comended his dedez,"
,,1688,Ful stille and softe al niȝt;
,,1690,Ful erly he watz diȝt.
,,1697,And ful clere costez þe clowdes of þe welkyn.
,,1703,"His felaȝes fallen hym to, þat fnasted ful þike,"
,,1707,Wreȝande hym ful weterly with a wroth noyse;
,,1709,"Hauilounez, and herkenez bi heggez ful ofte."
,,1711,"Stelez out ful stilly bi a strothe rande,"
,,1738,"Þat watz furred ful fyne with fellez wel pured,"
,,1821,"Wyt ȝe wel, hit watz worth wele ful hoge."
,,1825,"Ho bede hit hym ful bysily, and he hir bode wernes,"
,,1867,"He þonkked hir oft ful swyþe,"
,,1868,Ful þro with hert and þoȝt.
,,1876,"Hid hit ful holdely, þer he hit eft fonde."
,,1908,"Rased hym ful radly out of þe rach mouþes,"
,,1911,"Huntes hyȝed hem þeder with hornez ful mony,"
,,1924,Strakande ful stoutly in hor store hornez.
,,1946,And þat is ful pore for to pay for suche prys þinges
,,1983,Þay bikende hym to Kryst with ful colde sykyngez.
,,2005,"Þe snawe snitered ful snart, þat snayped þe wylde;"
,,2007,And drof vche dale ful of dryftes ful grete.
,,2008,"Þe leude lystened ful wel þat leȝ in his bedde,"
,,2009,"Þaȝ he lowkez his liddez, ful lyttel he slepes;"
,,2019,"Boþe his paunce and his platez, piked ful clene,"
,,2024,Wypped ful wel and wlonk;
,,2048,He þonkkez ofte ful ryue.
,,2089,"Þay were on a hille ful hyȝe,"
,,2099,Þe place þat ȝe prece to ful perelous is halden;
,,2116,"He hatz wonyd here ful ȝore,"
,,2140,Ful wel con Dryȝtyn schape
,,2160,"To Goddez wylle I am ful bayn,"
,,2214,Thenne þe knyȝt con calle ful hyȝe:
,,2228,Hit watz no lasse bi þat lace þat lemed ful bryȝt--
,,2301,Gawayn ful gryndelly with greme þenne sayde:
,,2337,"Armed, ful aȝlez: in hert hit hym lykez."
,,2404,ful bene.'
,,2451,For ho hatz dalt drwry ful dere sumtyme
,,2457,Þat ho ne con make ful tame--
,,2477,Gawayn on blonk ful bene
fulsun,1,99,"As fortune wolde fulsun hom, þe fayrer to haue."
funde,1,396,"I may be funde vpon folde, and foch þe such wages"
funden,1,642,"Fyrst he watz funden fautlez in his fyue wyttez,"
furred,3,883,"And fayre furred wythinne with fellez of þe best,"
,,1738,"Þat watz furred ful fyne with fellez wel pured,"
,,2031,And fayre furred withinne wyth fayre pelures--
fust,1,391,Þat I schal fange at þy fust þat I haf frayst here.
fute,1,1700,"Summe fel in þe fute þer þe fox bade,"
fuyt,1,1426,"And fellen as fast to þe fuyt, fourty at ones;"
fyched,1,660,"And fyched vpon fyue poyntez, þat fayld neuer,"
fyft,1,653,Þe fyft fyue þat I finde þat þe frek vsed
fyked,1,2276,"Nawþer fyked I ne flaȝe, freke, quen þou myntest,"
fyled,1,2227,"Fyled in a fylor, fowre fote large--"
fylle,2,1406,To fylle þe same forwardez þat þay byfore maden:
,,1935,"'I schal fylle vpon fyrst oure forwardez nouþe,"
fylor,1,2227,"Fyled in a fylor, fowre fote large--"
fylter,1,989,"'And I schal fonde, bi my fayth, to fylter wyth þe best"
fylyolez,1,799,"Fayre fylyolez þat fyȝed, and ferlyly long,"
fylþe,2,1016,"Wyth clene cortays carp closed fro fylþe,"
,,2438,How tender hit is to entyse teches of fylþe;
fyn,2,173,"Þe fole þat he ferkkes on fyn of þat ilke,"
,,1637,"Bi fyn forwarde and faste, faythely ȝe knowe.'"
fynde,8,123,Þat pine to fynde þe place þe peple biforne
,,324,"And as þou foly hatz frayst, fynde þe behoues."
,,449,"And layte as lelly til þou me, lude, fynde,"
,,455,"Forþi me for to fynde if þou fraystez, faylez þou neuer."
,,662,"Withouten ende at any noke I oquere fynde,"
,,678,"To fynde hys fere vpon folde, in fayth, is not eþe."
,,1056,I ne wot in worlde whederwarde to wende hit to fynde.
,,1680,"For I haf fraysted þe twys, and faythful I fynde þe."
fyndez,2,720,"So mony meruayl bi mount þer þe mon fyndez,"
,,1926,"Fyndez fire vpon flet, þe freke þer-byside,"
fyndyng,1,1434,"Þay ferden to þe fyndyng, and frekez hem after;"
fyne,4,922,Syn we haf fonged þat fyne fader of nurture.
,,1240,Me behouez of fyne force
,,1738,"Þat watz furred ful fyne with fellez wel pured,"
,,1762,"So fautles of hir fetures and of so fyne hewes,"
fyngeres,1,1330,Two fyngeres þay fonde of þe fowlest of alle.
fyngres,1,643,"And efte fayled neuer þe freke in his fyue fyngres,"
fyngrez,1,1834,"Noȝt bot arounde brayden, beten with fyngrez;"
fynisment,1,500,Þe forme to þe fynisment foldez ful selden.
fynly,1,1392,"I wowche hit saf fynly, þaȝ feler hit were.'"
fyr,2,459,Þat þe fyr of þe flynt flaȝe fro fole houes.
,,1369,Wyth blys and bryȝt fyr bette.
fyre,3,835,Þer fayre fyre vpon flet fersly brenned.
,,850,"Felle face as þe fyre, and fre of hys speche;"
,,1654,"Aboute þe fyre vpon flet, and on fele wyse"
fyrre,4,378,"'Refourme we oure forwardes, er we fyrre passe."
,,411,For þou may leng in þy londe and layt no fyrre--
,,2123,"And I schal hyȝ me hom aȝayn, and hete yow fyrre"
,,2153,Ne bere þe felaȝschip þurȝ þis fryth on fote fyrre.'
fyrst,27,9,"With gret bobbaunce þat burȝe he biges vpon fyrst,"
,,135,"And þe fyrst cource in þe court kyndely serued,"
,,224,"Þe fyrst word þat he warp, 'Wher is', he sayd,"
,,290,And I schal bide þe fyrst bur as bare as I sitte.
,,301,"If he hem stowned vpon fyrst, stiller were þanne"
,,359,"And I haue frayned hit at yow fyrst, foldez hit to me;"
,,379,"Fyrst I eþe þe, haþel, how þat þou hattes"
,,492,THIS hanselle hatz Arthur of auenturus on fyrst
,,529,"Þenne al rypez and rotez þat ros vpon fyrst,"
,,569,"Fyrst a tulé tapit tyȝt ouer þe flet,"
,,642,"Fyrst he watz funden fautlez in his fyue wyttez,"
,,1075,"Quyle forth dayez, and ferk on þe fyrst of þe ȝere,"
,,1151,At þe fyrst quethe of þe quest quaked þe wylde;
,,1423,"Þe hunt rehayted þe houndez þat hit fyrst mynged,"
,,1444,"For þre at þe fyrst þrast he þryȝt to þe erþe,"
,,1478,"Sir Wawen her welcumed worþy on fyrst,"
,,1593,"For þe mon merkkez hym wel, as þay mette fyrst,"
,,1608,"Fyrst he hewes of his hed and on hiȝe settez,"
,,1935,"'I schal fylle vpon fyrst oure forwardez nouþe,"
,,1961,Þenne loȝly his leue at þe lorde fyrst
,,2017,"Fyrst he clad hym in his cloþez þe colde for to were,"
,,2021,"And al watz fresch as vpon fyrst, and he watz fayn þenne"
,,2229,"And þe gome in þe grene gered as fyrst,"
,,2347,"Fyrst I mansed þe muryly with a mynt one,"
,,2349,"For þe forwarde þat we fest in þe fyrst nyȝt,"
,,2396,As þou hadez neuer forfeted syþen þou watz fyrst borne;
,,2526,"Syphen Brutus, þe bolde burne, boȝed hider fyrst,"
fysche,1,504,Þat fraystez flesch wyth þe fysche and fode more symple;
fyskez,1,1705,"And he fyskez hem byfore; þay founden hym sone,"
fyue,12,629,"For hit is a figure þat haldez fyue poyntez,"
,,634,For ay faythful in fyue and sere fyue syþez
,,642,"Fyrst he watz funden fautlez in his fyue wyttez,"
,,643,"And efte fayled neuer þe freke in his fyue fyngres,"
,,644,And alle his afyaunce vpon folde watz in þe fyue woundez
,,648,Þat alle his forsnes he feng at þe fyue joyez
,,653,Þe fyft fyue þat I finde þat þe frek vsed
,,656,"And pité, þat passez alle poyntez, þyse pure fyue"
,,658,"Now alle þese fyue syþez, for soþe, were fetled on þis knyȝt,"
,,660,"And fyched vpon fyue poyntez, þat fayld neuer,"
,,2195,"Now I fele hit is þe fende, in my fyue wyttez,"
fyȝed,1,799,"Fayre fylyolez þat fyȝed, and ferlyly long,"
fyȝt,2,278,Here faylez þou not to fyȝt.'
,,279,"'Nay, frayst I no fyȝt, in fayth I þe telle,"
gafe,1,1862,And he granted and hym gafe with a goud wylle--
game,3,365,And gif Gawan þe game.
,,1315,with game.
,,1533,To lerne at yow sum game;
gamnez,1,1320,"And ay þe lorde of þe londe is lent on his gamnez,"
gargulun,2,1336,"Þay gryped to þe gargulun, and grayþely departed"
,,1341,"And eft at þe gargulun bigynez on þenne,"
gart,1,2462,For to haf greued Gaynour and gart hir to dyȝe
garysoun,3,1256,Þen much of þe garysoun oþer golde þat þay hauen.
,,1808,"A gloue for a garysoun of Gawaynez giftez,"
,,1838,"Nauþer golde ne garysoun, er God hym grace sende"
garytez,1,794,"And syþen garytez ful gaye gered bitwene,"
gast,1,325,I know no gome þat is gast of þy grete wordes;
gate,6,698,"Ne no gome bot God bi gate wyth to karp,"
,,781,"And he ful chauncely hatz chosen to þe chef gate,"
,,933,"Chaplaynez to þe chapeles chosen þe gate,"
,,1155,"Þay let þe herttez haf þe gate, with þe hyȝe hedes,"
,,1968,"Þe gate to þe grene chapel, as God wyl me suffer"
,,2121,"And gotz away sum oþer gate, vpon Goddez halue!"
gates,1,711,Þe knyȝt tok gates straunge
gauan,3,398,"'Where schulde I wale þe,' quoþ Gauan, 'where is þy place?"
,,421,"Gauan gripped to his ax, and gederes hit on hyȝt,"
,,694,"Sir Gauan, on Godez halue, þaȝ hym no gomen þoȝt."
gauayn,1,1106,"Gauayn grantez alle þyse,"
gaudi,1,167,"With gay gaudi of grene, þe golde ay inmyddes."
gawan,24,109,"There gode Gawan watz grayþed Gwenore bisyde,"
,,339,"Gawan, þat sate bi þe quene,"
,,365,And gif Gawan þe game.
,,375,"Gawan gotz to þe gome with giserne in honde,"
,,377,"Þen carppez to Sir Gawan þe knyȝt in þe grene,"
,,381,"'In god fayth,' quoþ þe goode knyȝt, 'Gawan I hatte,"
,,387,"'Sir Gawan, so mot I þryue"
,,390,"'Bigog,' quoþ þe grene knyȝt, 'Sir Gawan, me lykes"
,,405,Quoþ þe gome in þe grene to Gawan þe hende;
,,416,Quoþ Gawan; his ax he strokes.
,,448,"'Loke, Gawan, þou be grayþe to go as þou hettez,"
,,487,"Now þenk wel, Sir Gawan,"
,,496,"Gawan watz glad to begynne þose gomnez in halle,"
,,535,Þen þenkkez Gawan ful sone
,,635,"Gawan watz for gode knawen, and as golde pured,"
,,668,"Now grayþed is Gawan gay,"
,,814,"'Gode sir,' quoþ Gawan, 'woldez þou go myn ernde"
,,879,"Watz grayþed for Sir Gawan grayþely with cloþez,"
,,924,"Þat such a gest as Gawan grauntez vus to haue,"
,,938,Gawan glydez ful gay and gos þeder sone;
,,1006,"Gawan and þe gay burde togeder þay seten,"
,,1032,"Gawan gef hym god day, þe godmon hym lachchez,"
,,1082,"Þenne watz Gawan ful glad, and gomenly he laȝed:"
,,1294,"Bot þat ȝe be Gawan, hit gotz in mynde.'"
gawayn,52,841,"'Graunt mercy,' quoþ Gawayn,"
,,845,"Gawayn glyȝt on þe gome þat godly hym gret,"
,,973,"When Gawayn glyȝt on þat gay, þat graciously loked,"
,,992,For to glade Sir Gawayn with gomnez in halle
,,1039,Þat Gawayn hatz ben my gest at Goddez awen fest.'
,,1040,"'Grant merci, sir,' quoþ Gawayn, 'in god fayth hit is yowrez,"
,,1047,To hym answarez Gawayn
,,1113,"'Bi God,' quoþ Gawayn þe gode, 'I grant þertylle,"
,,1180,"And Gawayn þe god mon in gay bed lygez,"
,,1209,"'God moroun, Sir Gawayn,' sayde þat gay lady,"
,,1214,"'Goud moroun, gay,' quoþ Gawayn þe blyþe,"
,,1242,"'In god fayth,' quoþ Gawayn, 'gayn hit me þynkkez,"
,,1249,"'In god fayth, Sir Gawayn,' quoþ þe gay lady,"
,,1298,"'So god as Gawayn gaynly is halden,"
,,1371,When Gawayn wyth hym mette
,,1377,"And al godly in gomen Gawayn he called,"
,,1384,"'And al I gif yow, Gawayn,' quoþ þe gome þenne,"
,,1471,"Gawayn grayþely at home, in gerez ful ryche"
,,1499,"'Ȝe, be God,' quoþ Gawayn, 'good is your speche,"
,,1536,"'In goud fayþe,' quoþ Gawayn, 'God yow forȝelde!"
,,1625,"When he seȝe Sir Gawayn, with solace he spekez;"
,,1636,"'Now, Gawayn,' quoþ þe godmon, 'þis gomen is your awen"
,,1684,"Þis watz grayþely graunted, and Gawayn is lenged,"
,,1687,Sir Gawayn lis and slepes
,,1873,"When ho watz gon, Sir Gawayn gerez hym sone,"
,,1927,"Sir Gawayn þe gode, þat glad watz withalle,"
,,1949,"'Inoȝ,' quoþ Sir Gawayn,"
,,1956,Gawayn and þe godemon so glad were þay boþe--
,,1976,"Þe lorde Gawayn con þonk,"
,,2016,And grayþez me Sir Gawayn vpon a grett wyse.
,,2033,Þat forgat not Gawayn for gode of hymseluen.
,,2075,"Gef hym God and goud day, þat Gawayn he saue--"
,,2120,"'Forþy, goude Sir Gawayn, let þe gome one,"
,,2128,"'Grant merci', quoþ Gawayn, and gruchyng he sayde:"
,,2151,"Now farez wel, on Godez half, Gawayn þe noble!"
,,2158,"'Bi Goddez self,' quoþ Gawayn,"
,,2207,"Þenne 'Bi Godde,' quoþ Gawayn, 'þat gere, as I trowe,"
,,2216,For now is gode Gawayn goande ryȝt here.
,,2237,"Sir Gawayn þe knyȝt con mete,"
,,2241,"'Gawayn,' quoþ þat grene gome, 'God þe mot loke!"
,,2252,"'Nay, bi God,' quoþ Gawayn, 'þat me gost lante,"
,,2262,Gederez vp hys grymme tole Gawayn to smyte;
,,2267,"Bot Gawayn on þat giserne glyfte hym bysyde,"
,,2272,"'Þou art not Gawayn,' quoþ þe gome, 'þat is so goud halden,"
,,2282,"Quoþ Gawayn, 'I schunt onez,"
,,2294,"Gawayn grayþely hit bydez, and glent with no membre,"
,,2301,Gawayn ful gryndelly with greme þenne sayde:
,,2367,"So is Gawayn, in god fayth, bi oþer gay knyȝtez."
,,2398,"For hit is grene as my goune. Sir Gawayn, ȝe maye"
,,2431,"'Bot your gordel', quoþ Gawayn, 'God yow forȝelde!"
,,2477,Gawayn on blonk ful bene
,,2493,Þat gode Gawayn watz commen; gayn hit hym þoȝt.
gawayne,1,1620,Til he seȝ Sir Gawayne
gawaynez,1,1808,"A gloue for a garysoun of Gawaynez giftez,"
gawen,3,463,Þe kyng and Gawen þare
,,476,"He glent vpon Sir Gawen, and gaynly he sayde,"
,,996,Sir Gawen his leue con nyme
gay,15,74,"Whene Guenore, ful gay, grayþed in þe myddes,"
,,167,"With gay gaudi of grene, þe golde ay inmyddes."
,,179,"Wel gay watz þis gome gered in grene,"
,,584,"With gode cowters and gay, and glouez of plate,"
,,668,"Now grayþed is Gawan gay,"
,,938,Gawan glydez ful gay and gos þeder sone;
,,973,"When Gawayn glyȝt on þat gay, þat graciously loked,"
,,1006,"Gawan and þe gay burde togeder þay seten,"
,,1180,"And Gawayn þe god mon in gay bed lygez,"
,,1209,"'God moroun, Sir Gawayn,' sayde þat gay lady,"
,,1214,"'Goud moroun, gay,' quoþ Gawayn þe blyþe,"
,,1249,"'In god fayth, Sir Gawayn,' quoþ þe gay lady,"
,,1823,"'I wil no giftez, for Gode, my gay, at þis tyme;"
,,2037,"Þe gordel of þe grene silke, þat gay wel bisemed,"
,,2367,"So is Gawayn, in god fayth, bi oþer gay knyȝtez."
gaye,1,794,"And syþen garytez ful gaye gered bitwene,"
gayest,1,2025,"Þe gayest into Grece,"
gayly,2,599,"Þat glemed ful gayly with mony golde frenges,"
,,1761,"He seȝ hir so glorious and gayly atyred,"
gayn,5,178,To þe gome he watz ful gayn.
,,585,And alle þe godlych gere þat hym gayn schulde
,,1242,"'In god fayth,' quoþ Gawayn, 'gayn hit me þynkkez,"
,,1622,"He calde, and he com gayn"
,,2493,Þat gode Gawayn watz commen; gayn hit hym þoȝt.
gayne,1,2351,"Al þe gayne þow me gef, as god mon schulde."
gaynes,1,1830,"I schal gif yow my girdel, þat gaynes yow lasse.'"
gaynest,1,1974,For to ferk þurȝ þe fryth and fare at þe gaynest
gaynly,2,476,"He glent vpon Sir Gawen, and gaynly he sayde,"
,,1298,"'So god as Gawayn gaynly is halden,"
gaynour,1,2462,For to haf greued Gaynour and gart hir to dyȝe
gedered,4,1327,"Gedered þe grattest of gres þat þer were,"
,,1427,Þenne such a glauer ande glam of gedered rachchez
,,1567,So felle flonez þer flete when þe folk gedered.
,,1626,"Þe goude ladyez were geten, and gedered þe meyny,"
gederes,1,421,"Gauan gripped to his ax, and gederes hit on hyȝt,"
gederez,2,2162,"Thenne gyrdez he to Gryngolet, and gederez þe rake,"
,,2262,Gederez vp hys grymme tole Gawayn to smyte;
gef,7,370,"And gef hym Goddez blessyng, and gladly hym biddes"
,,670,"And gef hem alle goud day,"
,,1032,"Gawan gef hym god day, þe godmon hym lachchez,"
,,1291,"Þenne ho gef hym god day, and wyth a glent laȝed,"
,,2070,He gef hit ay god chaunce.
,,2075,"Gef hym God and goud day, þat Gawayn he saue--"
,,2351,"Al þe gayne þow me gef, as god mon schulde."
gemmes,1,78,Þat were enbrawded and beten wyth þe best gemmes
gemmez,1,610,Enbrawden and bounden wyth þe best gemmez
gentyle,4,42,"Justed ful jolilé þise gentyle kniȝtes,"
,,777,"Jesus and sayn Gilyan, þat gentyle ar boþe,"
,,1025,"Þe ioye of sayn Jonez day watz gentyle to here,"
,,2187,"'We! Lorde,' quoþ þe gentyle knyȝt,"
gentylest,1,641,And gentylest knyȝt of lote.
gerdez,1,780,"Þenne gerdez he to Gryngolet with þe gilt helez,"
gere,3,570,And miche watz þe gyld gere þat glent þeralofte;
,,585,And alle þe godlych gere þat hym gayn schulde
,,2207,"Þenne 'Bi Godde,' quoþ Gawayn, 'þat gere, as I trowe,"
gered,5,179,"Wel gay watz þis gome gered in grene,"
,,794,"And syþen garytez ful gaye gered bitwene,"
,,960,"Þat oþer wyth a gorger watz gered ouer þe swyre,"
,,1833,"Gered hit watz with grene sylke and with golde schaped,"
,,2229,"And þe gome in þe grene gered as fyrst,"
gerez,2,1471,"Gawayn grayþely at home, in gerez ful ryche"
,,1873,"When ho watz gon, Sir Gawayn gerez hym sone,"
geserne,1,326,"Gif me now þy geserne, vpon Godez halue,"
gest,3,924,"Þat such a gest as Gawan grauntez vus to haue,"
,,1039,Þat Gawayn hatz ben my gest at Goddez awen fest.'
,,2057,"Ȝif þay for charyté cherysen a gest,"
gestes,1,1027,"Þer wer gestes to go vpon þe gray morne,"
get,1,1639,"Alle my get I schal yow gif agayn, bi my trawþe.'"
gete,2,1572,"He gete þe bonk at his bak, bigynez to scrape,"
,,1872,For more myrþe of þat mon moȝt ho not gete.
geten,4,1172,"And þe grehoundez so grete, þat geten hem bylyue"
,,1626,"Þe goude ladyez were geten, and gedered þe meyny,"
,,1944,"For I haf hunted al þis day, and noȝt haf I geten"
,,2482,"On Gryngolet, þat þe grace hade geten of his lyue;"
geuen,2,923,"God hatz geuen vus his grace godly for soþe,"
,,1501,And vche gift þat is geuen not with goud wylle.
gif,9,288,"I schal gif hym of my gyft þys giserne ryche,"
,,297,"And ȝet gif hym respite,"
,,326,"Gif me now þy geserne, vpon Godez halue,"
,,365,And gif Gawan þe game.
,,1384,"'And al I gif yow, Gawayn,' quoþ þe gome þenne,"
,,1639,"Alle my get I schal yow gif agayn, bi my trawþe.'"
,,1800,"Gif me sumquat of þy gifte, þi gloue if hit were,"
,,1830,"I schal gif yow my girdel, þat gaynes yow lasse.'"
,,2397,"And I gif þe, sir, þe gurdel þat is golde-hemmed,"
gift,1,1501,And vche gift þat is geuen not with goud wylle.
gifte,2,1800,"Gif me sumquat of þy gifte, þi gloue if hit were,"
,,2032,"Ȝet laft he not þe lace, þe ladiez gifte,"
giftes,1,68,Debated busyly aboute þo giftes;
giftez,2,1808,"A gloue for a garysoun of Gawaynez giftez,"
,,1823,"'I wil no giftez, for Gode, my gay, at þis tyme;"
gile,2,1645,"Þe lorde sayde, 'Bi saynt Gile,"
,,1788,for gile.'
gilt,2,780,"Þenne gerdez he to Gryngolet with þe gilt helez,"
,,2064,"Gordez to Gryngolet with his gilt helez,"
gilyan,1,777,"Jesus and sayn Gilyan, þat gentyle ar boþe,"
girdel,2,1830,"I schal gif yow my girdel, þat gaynes yow lasse.'"
,,2360,"'For hit is my wede þat þou werez, þat ilke wouen girdel,"
giserne,3,288,"I schal gif hym of my gyft þys giserne ryche,"
,,375,"Gawan gotz to þe gome with giserne in honde,"
,,2267,"Bot Gawayn on þat giserne glyfte hym bysyde,"
glad,5,496,"Gawan watz glad to begynne þose gomnez in halle,"
,,1082,"Þenne watz Gawan ful glad, and gomenly he laȝed:"
,,1246,"Bi God, I were glad, and yow god þoȝt,"
,,1927,"Sir Gawayn þe gode, þat glad watz withalle,"
,,1956,Gawayn and þe godemon so glad were þay boþe--
glade,1,992,For to glade Sir Gawayn with gomnez in halle
gladloker,1,1067,"Gladloker, bi Goddez sun, þen any god welde!"
gladly,3,225,'Þe gouernour of þis gyng? Gladly I wolde
,,370,"And gef hym Goddez blessyng, and gladly hym biddes"
,,415,"'Gladly, sir, for soþe',"
glam,2,1427,Þenne such a glauer ande glam of gedered rachchez
,,1653,Much glam and gle glent vp þerinne
glauer,1,1427,Þenne such a glauer ande glam of gedered rachchez
glaum,1,46,"Such glaum ande gle glorious to here,"
gle,3,46,"Such glaum ande gle glorious to here,"
,,1537,"Gret is þe gode gle, and gomen to me huge,"
,,1653,Much glam and gle glent vp þerinne
glede,1,1610,"Braydez out þe boweles, brennez hom on glede,"
gledez,1,894,"Summe baken in bred, summe brad on þe gledez,"
glem,1,605,Þat al glytered and glent as glem of þe sunne.
glemed,1,599,"Þat glemed ful gayly with mony golde frenges,"
glemered,1,172,Þat euer glemered and glent al of grene stones;
glent,9,82,"Þer glent with yȝen gray,"
,,172,Þat euer glemered and glent al of grene stones;
,,476,"He glent vpon Sir Gawen, and gaynly he sayde,"
,,570,And miche watz þe gyld gere þat glent þeralofte;
,,605,Þat al glytered and glent as glem of þe sunne.
,,1291,"Þenne ho gef hym god day, and wyth a glent laȝed,"
,,1653,Much glam and gle glent vp þerinne
,,2041,"And þaȝ þe glyterande golde glent vpon endez,"
,,2294,"Gawayn grayþely hit bydez, and glent with no membre,"
glod,1,663,"Whereeuer þe gomen bygan, or glod to an ende."
glode,1,2268,"As hit com glydande adoun on glode hym to schende,"
glodes,1,2183,"And ouergrowen with gresse in glodes aywhere,"
glopnyng,1,2463,With glopnyng of þat ilke gome þat gostlych speked
glorious,2,46,"Such glaum ande gle glorious to here,"
